Variable,MAE,RMSE,R2
ptend_t,20.68897837466433,31.819260345814058,0.9421205401581685
ptend_q0001,23.5809851798495,37.7618139670682,0.8263202339867453
cam_out_NETSW,6.450724084945688,11.007628052490565,0.9970104429340502
cam_out_FLWDS,1.8552993175352515,2.504189665792765,0.99834288980765
cam_out_PRECSC,1.13069237530729,2.5421360487531395,0.953330247944014
cam_out_PRECC,16.970744401407437,27.47544781415043,0.890594811677502
cam_out_SOLS,3.552765790581962,6.29678061688647,0.9946304781835411
cam_out_SOLL,4.318243097563251,7.419120358492304,0.9931627438091751
cam_out_SOLSD,2.0033500763882284,3.3131710147200693,0.991538919625604
cam_out_SOLLD,1.9001048372055394,3.2430083803224234,0.9745572722762716
