Variable,MAE,RMSE,R2
ptend_t,2.6852533636819778,4.4818254181964825,0.6172063903165775
ptend_q0001,4.592409591790026,7.518001744726017,-inf
cam_out_NETSW,18.878685801615017,33.59648534019909,0.9680355491845819
cam_out_FLWDS,6.017692706002104,7.913914897839568,0.9121730576405082
cam_out_PRECSC,3.3284435796905925,5.511482000433716,-inf
cam_out_PRECC,37.455142980298874,76.57823830592548,-67.94314615095381
cam_out_SOLS,10.355970412875024,20.606767346826853,0.9427226369324089
cam_out_SOLL,12.955313775334233,25.21896870845734,0.9280290746580938
cam_out_SOLSD,5.845593801382475,10.996471656184184,0.9399798858392021
cam_out_SOLLD,5.701871121525673,11.247107974863786,0.8366301924092286
