Variable,MAE,RMSE,R2
ptend_t,2.7320507839045054,4.720812382308714,0.5896926379766418
ptend_q0001,4.679666533786129,7.779619158601014,-inf
cam_out_NETSW,19.729193038164883,38.36403712859285,0.9565311410137957
cam_out_FLWDS,6.588048539145323,8.529761102956984,0.8832373838127839
cam_out_PRECSC,3.3216449470181995,6.182025657818862,-inf
cam_out_PRECC,38.80596306578646,88.71114227984158,-0.9262888007214521
cam_out_SOLS,10.939535213543794,23.26498394549981,0.9293751063029608
cam_out_SOLL,13.461330628640711,27.812572164328945,0.9152669127526819
cam_out_SOLSD,6.158716452905785,12.639113798744033,0.9212608088449383
cam_out_SOLLD,6.065649914153458,12.624934418120896,0.7963266540757559
