Variable,MAE,RMSE,R2
ptend_t,2.6827649418146,4.420904463479726,0.5889869776103343
ptend_q0001,4.494751601035413,7.321821082719789,-inf
cam_out_NETSW,13.360914909152122,26.70755144044071,0.9826840591019886
cam_out_FLWDS,5.224467868676377,6.968641937006521,0.9242986257380839
cam_out_PRECSC,2.6839145033127116,4.7336801314421555,-inf
cam_out_PRECC,34.33306491938216,72.87635703833509,-38.685671021326044
cam_out_SOLS,7.970804949796495,17.403314975142248,0.9613796985531365
cam_out_SOLL,10.29917818438229,21.95443734205732,0.9476119694107058
cam_out_SOLSD,4.533140951688825,9.420305524062428,0.9557129714786438
cam_out_SOLLD,4.806306538240692,10.11870196133897,0.866159275939738
